"loan_amount","tenor_years","interest_rate","debt_to_income","credit_score","collateral_ratio","industry","company_age_years","prev_defaults","default_flag","PD","LGD","EAD","EL"
178477311,6,8.89,0.346,815,1.267,"IT",19,0,0,0.00680222315713763,0,178477311,0
306454412,9,14.56,0.164,627,0.08,"IT",22,1,0,0.0565414689481258,0.92,306454412,15941192.010505
414642123,2,11.71,0.455,416,1.267,"Infrastructure",7,0,0,0.0827196687459946,0,414642123,0
179004278,3,9.09,0.845,463,0.494,"Manufacturing",40,1,0,0.22796131670475,0.506,179004278,20647861.7597835
205906928,6,16.44,0.82,464,1.853,"Real_Estate",15,0,0,0.299711883068085,0,205906928,0
287164474,9,10.93,0.322,872,0.648,"Real_Estate",35,0,0,0.0114457895979285,0.352,287164474,1156962.10059014
295249473,3,16.17,0.672,366,1.479,"Infrastructure",9,0,0,0.470801383256912,0,295249473,0
360108989,4,11.32,0.25,706,1.938,"IT",14,0,0,0.00646493537351489,0,360108989,0
198091550,7,10.1,0.7,684,1.811,"IT",24,0,0,0.0264727957546711,0,198091550,0
459682761,7,12.44,0.339,463,0.134,"IT",26,0,0,0.101810723543167,0.866,459682761,40529349.4750348
481322576,10,13.25,0.633,660,0.303,"Infrastructure",24,1,0,0.0924419537186623,0.697,481322576,31012596.3081545
117528239,2,17.61,0.51,836,0.33,"IT",2,0,1,0.683731019496918,0.67,117528239,53839660.7896688
362524302,10,8.11,0.105,470,0.851,"IT",27,3,0,0.0658663213253021,0.149,362524302,3557843.18240067
451913628,10,10.03,0.238,503,1.209,"Retail",31,0,0,0.0179319083690643,0,451913628,0
302133568,4,11.92,0.584,500,1.068,"Retail",11,0,0,0.0997872725129128,0,302133568,0
316122142,10,14.97,0.105,873,1.198,"Manufacturing",45,2,0,0.0364553071558475,0,316122142,0
468755539,4,13.09,0.727,478,0.36,"IT",9,0,1,0.25916662812233,0.64,468755539,77750907.172029
425390893,4,15.84,0.546,607,0.829,"IT",26,0,0,0.0584995485842228,0.171,425390893,4255364.96131004
290330629,1,17.65,0.162,475,0.208,"Infrastructure",13,0,0,0.140384539961815,0.792,290330629,32280281.9768796
410880558,7,13.96,0.744,387,1.037,"Manufacturing",17,0,0,0.147301763296127,0,410880558,0
57745586,4,15.31,0.292,899,0.792,"Manufacturing",2,0,1,0.215031355619431,0.208,57745586,2582759.22083263
382489372,9,15.12,0.433,702,1.563,"IT",7,1,0,0.0381821356713772,0,382489372,0
312183115,7,12.63,0.174,308,1.055,"Manufacturing",41,0,0,0.0450190342962742,0,312183115,0
75074857,2,10.58,0.624,835,0.751,"Retail",14,0,0,0.0279350746423006,0.249,75074857,522208.211779706
41051969,5,16.47,0.611,641,1.992,"Retail",9,1,0,0.202818870544434,0,41051969,0
232570706,6,11.23,0.721,426,1.721,"IT",46,2,0,0.641631245613098,0,232570706,0
389904713,3,14.16,0.485,773,0.387,"Retail",10,0,0,0.132542759180069,0.613,389904713,31679255.4912181
367030452,10,10.48,0.234,390,1.564,"Manufacturing",19,0,0,0.0206268969923258,0,367030452,0
408797992,3,15.92,0.78,428,1.787,"Infrastructure",11,3,1,0.7624551653862,0,408797992,0
85911078,1,8.14,0.865,666,1.919,"IT",14,2,0,0.208477362990379,0,85911078,0
472415442,10,11.04,0.444,659,1.272,"Retail",9,0,0,0.121127240359783,0,472415442,0
147518297,8,15.34,0.266,320,0.791,"Retail",46,0,0,0.0577638782560825,0.209,147518297,1780936.8502266
75386954,6,16.07,0.694,511,1.801,"Manufacturing",32,0,0,0.159892335534096,0,75386954,0
359969917,1,11.39,0.516,523,0.297,"IT",3,0,0,0.308472603559494,0.703,359969917,78061722.8225597
162718890,7,15.48,0.349,851,0.928,"Retail",45,0,0,0.027334513142705,0.072,162718890,320244.597883538
389625940,5,12.3,0.872,470,1.182,"Retail",19,1,0,0.221893846988678,0,389625940,0
197826060,1,16.25,0.586,670,0.289,"IT",32,0,0,0.0214363001286983,0.711,197826060,3015108.40355634
339617841,1,15.47,0.574,747,1.643,"IT",27,0,0,0.0116852093487978,0,339617841,0
388136696,3,12.52,0.177,804,1.964,"Manufacturing",41,0,0,0.00364527176134288,0,388136696,0
94746653,6,13.2,0.491,320,1.834,"Retail",13,0,0,0.134835854172707,0,94746653,0
15513824,6,16.51,0.176,507,1.594,"Manufacturing",18,2,0,0.0567188300192356,0,15513824,0
68721185,3,12.56,0.202,338,1.949,"Manufacturing",13,0,0,0.0571203157305717,0,68721185,0
340401925,9,9.22,0.346,724,0.474,"Retail",30,0,0,0.0295411068946123,0.526,340401925,5289376.91777088
467476654,10,10.98,0.199,537,0.051,"Retail",32,0,0,0.019072076305747,0.949,467476654,8461047.14501489
275696548,10,9.46,0.612,631,0.982,"Manufacturing",13,0,0,0.0800807550549507,0.018,275696548,397403.779137903
301281351,1,17.47,0.334,412,0.695,"Retail",37,0,0,0.0871698185801506,0.305,301281351,8010105.41601707
99300250,2,11.27,0.791,815,1.282,"Infrastructure",45,3,0,0.230183288455009,0,99300250,0
268083069,6,13.55,0.366,688,1.811,"IT",29,3,1,0.360010266304016,0,268083069,0
90598314,2,16.91,0.269,807,1.213,"Real_Estate",29,0,0,0.0219812374562025,0,90598314,0
226491361,2,13.48,0.861,536,0.329,"Manufacturing",25,0,0,0.0687497109174728,0.671,226491361,10448285.6636109
159209623,4,16.26,0.326,388,0.953,"Retail",2,0,1,0.52787971496582,0.047,159209623,3950045.92922562
58971161,8,16.36,0.329,470,0.719,"Infrastructure",11,1,0,0.0973837748169899,0.281,58971161,1613736.42804925
93864976,10,16.38,0.336,793,0.328,"Real_Estate",15,1,1,0.341034203767776,0.672,93864976,21511504.4604375
365135318,5,14.48,0.201,856,0.222,"Infrastructure",37,0,0,0.021843945607543,0.778,365135318,6205324.90806066
206524164,3,11.13,0.778,691,1.969,"Infrastructure",49,0,0,0.012843363918364,0,206524164,0
207610791,2,9.89,0.709,312,0.415,"Retail",10,1,1,0.645566642284393,0.585,207610791,78405561.730008
240674754,5,16.78,0.695,429,1.156,"Retail",48,1,0,0.228130489587784,0,240674754,0
214319738,3,11.42,0.551,895,0.472,"Infrastructure",23,1,0,0.0474425926804543,0.528,214319738,5368642.76959068
69108690,10,12.98,0.341,642,1.425,"IT",48,0,0,0.0638206675648689,0,69108690,0
412515024,5,10.19,0.536,655,0.405,"Manufacturing",35,0,0,0.0358380302786827,0.595,412515024,8796316.9227115
296559817,3,10.19,0.41,468,1.717,"Manufacturing",10,0,1,0.157599329948425,0,296559817,0
397404092,9,8.46,0.846,440,1.424,"Manufacturing",8,0,0,0.311371654272079,0,397404092,0
384747180,4,10.06,0.775,789,0.315,"Real_Estate",35,0,0,0.0397321097552776,0.685,384747180,10471469.7708986
459110152,4,12.34,0.778,381,0.034,"IT",30,0,1,0.200561419129372,0.966,459110152,88949070.9786796
431452259,4,13.43,0.621,885,0.45,"Infrastructure",47,0,0,0.0159732438623905,0.55,431452259,3790430.68139245
159170644,1,15.24,0.804,386,0.993,"Real_Estate",21,1,1,0.511209964752197,0.00700000000000001,159170644,569587.335161772
130371027,1,17.73,0.876,764,0.64,"Real_Estate",36,1,0,0.097691036760807,0.36,130371027,4584989.08483242
371390960,2,11.02,0.423,758,1.854,"Manufacturing",41,0,0,0.00738106947392225,0,371390960,0
373933197,4,15.38,0.35,363,0.009,"Retail",3,2,1,0.801542401313782,0.991,373933197,297025802.840431
459034113,8,14.7,0.447,807,0.174,"IT",47,1,0,0.161361083388329,0.826,459034113,61182019.7151372
396802413,8,12.18,0.421,383,1.3,"Manufacturing",9,0,0,0.106881506741047,0,396802413,0
67531480,10,15.75,0.473,445,1.36,"Infrastructure",5,2,1,0.562086820602417,0,67531480,0
144587126,10,11.47,0.349,890,1.275,"Retail",14,1,0,0.0400002673268318,0,144587126,0
98143396,2,12.55,0.263,821,0.244,"Infrastructure",38,3,0,0.140286043286324,0.756,98143396,10408720.4168392
392270582,5,9.79,0.422,728,1.97,"IT",44,1,0,0.0254544094204903,0,392270582,0
65307209,3,11.18,0.194,654,0.771,"Manufacturing",26,0,0,0.0100950552150607,0.229,65307209,150975.092702401
65415552,3,8.2,0.865,477,0.789,"Infrastructure",38,0,0,0.0407038182020187,0.211,65415552,561821.83733666
37054303,4,10.41,0.622,459,1.129,"IT",27,0,0,0.0920919924974442,0,37054303,0
27511612,4,14.1,0.422,715,1.537,"Manufacturing",7,1,0,0.062116052955389,0,27511612,0
266405344,3,11.9,0.443,845,1.67,"Manufacturing",43,1,0,0.0328547842800617,0,266405344,0
57041813,3,8.46,0.14,411,0.829,"Real_Estate",30,0,0,0.0213139988481998,0.171,57041813,207899.942355391
371850672,2,17.41,0.501,765,1.187,"Retail",35,0,0,0.0192987211048603,0,371850672,0
365926423,10,17.35,0.204,373,0.737,"Real_Estate",4,0,0,0.172705113887787,0.263,365926423,16620906.8789553
442673726,5,13.36,0.805,364,0.477,"Manufacturing",24,0,0,0.256746172904968,0.523,442673726,59441452.5529512
259038417,2,12.5,0.855,394,1.569,"Manufacturing",31,3,1,0.67915678024292,0,259038417,0
426113562,7,11.22,0.296,780,1.549,"Retail",20,3,0,0.0379449874162674,0,426113562,0
221955338,4,13.36,0.274,829,0.772,"Retail",15,0,0,0.00745360553264618,0.228,221955338,377195.798052311
79782170,10,11.26,0.88,846,0.109,"Retail",20,3,1,0.400799334049225,0.891,79782170,28491186.7790568
221719995,7,12.74,0.231,659,1.237,"Retail",42,0,0,0.00664485711604357,0,221719995,0
483899100,2,13.29,0.363,549,1.539,"Manufacturing",24,1,0,0.0245794877409935,0,483899100,0
242809377,9,16.46,0.66,302,0.274,"Real_Estate",10,1,0,0.612048149108887,0.726,242809377,107891607.61965
126976761,1,13.52,0.726,466,0.327,"Retail",12,2,0,0.346614569425583,0.673,126976761,29620072.8645402
130585300,2,15.06,0.344,574,0.537,"Real_Estate",3,1,0,0.554077327251434,0.463,130585300,33500065.9030773
271465955,9,17.11,0.203,773,0.247,"Infrastructure",44,0,0,0.0447548925876617,0.753,271465955,9148520.53189571
325288043,1,12.4,0.851,763,1.021,"Manufacturing",40,0,0,0.0199549160897732,0,325288043,0
168873147,4,11.36,0.586,864,1.086,"Retail",36,0,0,0.0236448980867863,0,168873147,0
31413923,7,17.2,0.438,458,1.211,"Real_Estate",7,0,0,0.178235441446304,0,31413923,0
226204114,2,16.36,0.278,496,0.041,"Manufacturing",38,1,0,0.0704401731491089,0.959,226204114,15280568.8219555
419538762,7,16.44,0.806,469,0.621,"IT",35,0,0,0.113695703446865,0.379,419538762,18078207.0194816
287744030,1,10.64,0.284,701,0.486,"IT",29,2,0,0.049140639603138,0.514,287744030,7267921.79755884
177321838,8,13.61,0.45,344,0.441,"Retail",9,1,0,0.330356001853943,0.559,177321838,32745847.3946776
274165613,1,13.87,0.184,879,0.412,"Manufacturing",30,0,0,0.0148264514282346,0.588,274165613,2390163.04892876
446466578,2,9.45,0.185,804,1.044,"Infrastructure",23,0,0,0.004897091537714,0,446466578,0
245505295,5,11.65,0.495,542,0.261,"Manufacturing",28,0,1,0.361672013998032,0.739,245505295,65617579.527985
86644424,4,16.96,0.633,761,1.999,"Infrastructure",15,1,0,0.0484900735318661,0,86644424,0
271972466,8,16.43,0.721,515,1.149,"Retail",45,3,1,0.693632185459137,0,271972466,0
480772380,7,15.69,0.119,598,0.695,"Real_Estate",26,1,0,0.0175357684493065,0.305,480772380,2571367.50541311
157528227,8,17.19,0.445,450,1.086,"Manufacturing",18,3,0,0.396579563617706,0,157528227,0
410436760,6,11.56,0.393,765,0.54,"Manufacturing",43,1,0,0.0291907135397196,0.46,410436760,5511233.26817209
154220146,4,17.38,0.416,384,1.407,"Retail",8,2,1,0.763824224472046,0,154220146,0
93541337,5,13.92,0.106,487,0.443,"IT",25,0,0,0.0574477389454842,0.557,93541337,2993172.23788327
25125042,2,15.53,0.369,353,1.915,"Real_Estate",37,1,1,0.273320883512497,0,25125042,0
123591399,8,8.8,0.702,769,1.384,"Retail",37,1,0,0.155399411916733,0,123591399,0
176202354,7,11.07,0.704,734,0.874,"Manufacturing",40,0,0,0.0189870353788137,0.126,176202354,421540.601482761
80352168,3,16.03,0.86,341,1.615,"Manufacturing",22,0,0,0.252443850040436,0,80352168,0
152744900,3,12.51,0.783,531,1.953,"Manufacturing",5,2,1,0.6166752576828,0,152744900,0
9756614,9,8.33,0.488,816,0.04,"IT",2,3,1,0.687318861484528,0.96,9756614,6437668.63336704
498279787,7,14.18,0.111,347,0.068,"IT",40,0,0,0.0799713507294655,0.932,498279787,37138436.2902649
402392263,2,15.73,0.634,386,0.438,"IT",9,0,1,0.588584542274475,0.562,402392263,133105128.654147
44203720,10,8.18,0.346,718,0.087,"Retail",18,0,0,0.0806104019284248,0.913,44203720,3253274.30760551
435096702,6,12.54,0.52,580,1.009,"IT",25,0,0,0.12978807091713,0,435096702,0
277738346,4,17.22,0.749,464,0.318,"Retail",22,0,0,0.258426398038864,0.682,277738346,48950495.6814633
211267832,5,14.36,0.843,600,1.112,"Real_Estate",44,1,0,0.195183947682381,0,211267832,0
34750773,4,9.43,0.851,326,0.79,"IT",37,2,1,0.501647174358368,0.21,34750773,3660851.687266
281157540,1,10.05,0.151,773,1.115,"Real_Estate",39,2,0,0.013110401108861,0,281157540,0
36290225,4,11.23,0.675,452,0.928,"Real_Estate",25,0,1,0.444911986589432,0.072,36290225,1162508.83909398
106484577,6,14.61,0.106,725,0.128,"Infrastructure",9,0,0,0.102545283734798,0.872,106484577,9521796.29312883
275260586,2,17.09,0.458,385,1.899,"Retail",47,0,0,0.0940110757946968,0,275260586,0
241508743,10,16.18,0.635,831,0.871,"Infrastructure",41,3,1,0.306472539901733,0.129,241508743,9548037.92596336
80575457,3,14.59,0.683,581,0.649,"Infrastructure",43,0,0,0.0406570434570312,0.351,80575457,1149861.90974352
75639919,10,11.51,0.751,741,0.015,"Manufacturing",15,0,0,0.0687627196311951,0.985,75639919,5123188.44497645
250137167,4,14.82,0.569,764,1.702,"Real_Estate",5,0,0,0.076184406876564,0,250137167,0
470341874,9,11.17,0.181,503,1.541,"Manufacturing",11,0,0,0.0106012392789125,0,470341874,0
167781432,8,10.27,0.66,804,1.135,"Manufacturing",31,0,0,0.0228762291371822,0,167781432,0
95028730,9,13.1,0.535,543,1.405,"Manufacturing",39,0,0,0.0934624224901199,0,95028730,0
135588373,2,8.55,0.642,712,1.617,"Real_Estate",29,1,0,0.033802404999733,0,135588373,0
265841295,7,10.57,0.515,597,1.381,"Infrastructure",24,0,0,0.0611467398703098,0,265841295,0
11703664,10,10.14,0.847,432,1.742,"Real_Estate",15,0,0,0.254314869642258,0,11703664,0
399581393,9,11.19,0.214,700,1.539,"Infrastructure",3,1,0,0.0294642150402069,0,399581393,0
56057215,10,14.92,0.61,712,0.067,"Infrastructure",49,1,0,0.157705530524254,0.933,56057215,8248217.13159092
270359345,9,17.77,0.446,482,0.935,"Manufacturing",28,0,1,0.346634656190872,0.065,270359345,6091534.70913418
286045715,8,15.63,0.376,384,1.473,"Infrastructure",1,0,0,0.20403815805912,0,286045715,0
309856822,2,11.72,0.274,509,0.924,"IT",17,0,0,0.0302132740616798,0.076,309856822,711495.970305503
357711993,1,13.17,0.778,757,0.649,"Manufacturing",10,3,0,0.139491602778435,0.351,357711993,17514134.55206
62526989,6,9.06,0.422,424,1.808,"Real_Estate",50,0,0,0.086446575820446,0,62526989,0
